Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
PBMC5_NK	0.439556125714286	NK	28	21	701	0.0399429386590585	0.0299572039942939	0.75	STARE	22.920793808249	15.836368609943	33.1744481162437	0.188643986496847	4.18234772542854e-24	99	STARE (gABC, power law)	0.004	STARE (gABC, power law) (PBMC5_NK)	#96ced3
PBMC5_NK	0.448396860255873	NK	132	104	701	0.18830242510699	0.148359486447932	0.787878787878788	scE2G_ATAC	29.2073465238313	24.9292144444451	34.2196539270914	0.0808075482884312	1.49091053053818e-134	99	scE2G (scATAC)	0.183	scE2G (scATAC) (PBMC5_NK)	#006479
PBMC5_NK	0.448830922624462	NK	27	21	701	0.0385164051355207	0.0299572039942939	0.777777777777778	STARE	22.4489228963425	15.3970431537058	32.7305791232155	0.192384732649076	6.66493491190373e-23	99	STARE (gABC, power law)	0.004	STARE (gABC, power law) (PBMC5_NK)	#96ced3
PBMC5_NK	0.448942857938133	NK	110	94	701	0.156918687589158	0.134094151212554	0.854545454545455	scE2G_multiome	37.3903300562921	31.3898686307144	44.5378347442496	0.0892500739542189	2.22679998393493e-124	98	scE2G (Multiome)	0.164	scE2G (Multiome) (PBMC5_NK)	#792374
PBMC5_NK	0.449001632653061	NK	39	36	701	0.0556348074179743	0.0513552068473609	0.923076923076923	scABC	27.5844653590716	20.1627558226025	37.7380322333144	0.159908873844885	9.28156993131411e-37	98	ABC (A=scATAC, C=power law)	0.015	ABC (A=scATAC, C=power law) (PBMC5_NK)	#0096a0
PBMC5_NK	0.453640575840613	NK	132	104	701	0.18830242510699	0.148359486447932	0.787878787878788	scE2G_ATAC	29.5182265488522	25.1945499111795	34.5838961863229	0.0808077215487028	4.07931753829171e-135	99	scE2G (scATAC)	0.183	scE2G (scATAC) (PBMC5_NK)	#006479
PBMC5_NK	0.467962959582468	NK	1	1	701	0.0014265335235378	0.0014265335235378	1	Cicero	30.1562171260257	4.23656821308254	214.654263926114	1.00136408938593	1	98	Cicero (co-accessibility)	0.25	Cicero (co-accessibility) (PBMC5_NK)	#888364
PBMC5_NK	0.468766377191756	NK	132	103	701	0.18830242510699	0.146932952924394	0.78030303030303	scE2G_ATAC	30.5896128168595	26.1089745231227	35.8391866925556	0.0808083186558208	5.17643899351817e-137	99	scE2G (scATAC)	0.183	scE2G (scATAC) (PBMC5_NK)	#006479
PBMC5_NK	0.469232318082815	NK	27	21	701	0.0385164051355207	0.0299572039942939	0.777777777777778	STARE	23.3711154832296	16.0294697694168	34.0753029755598	0.192387203601961	2.34685880866107e-23	99	STARE (gABC, power law)	0.004	STARE (gABC, power law) (PBMC5_NK)	#96ced3
PBMC5_NK	0.469349351480775	NK	108	92	701	0.154065620542083	0.131241084165478	0.851851851851852	scE2G_multiome	38.2351545079084	32.0355117387757	45.6345774078618	0.0902620352018933	6.24127805252063e-123	98	scE2G (Multiome)	0.164	scE2G (Multiome) (PBMC5_NK)	#792374
