tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
adipose	105	n_bin4	250	1000	250-1000 Kb	#49bcbc
adipose	0	n_bin5	1000	30000	> 1000Kb	#96ced3
adrenal_gland	160	n_bin1	0	10	0-10 Kb	#003648
adrenal_gland	191	n_bin2	10	100	10-100 Kb	#006479
adrenal_gland	38	n_bin3	100	250	100-250 Kb	#0096a0
adrenal_gland	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
adrenal_gland	1	n_bin5	1000	30000	> 1000Kb	#96ced3
T	118	n_bin1	0	10	0-10 Kb	#003648
T	133	n_bin2	10	100	10-100 Kb	#006479
T	27	n_bin3	100	250	100-250 Kb	#0096a0
T	17	n_bin4	250	1000	250-1000 Kb	#49bcbc
T	0	n_bin5	1000	30000	> 1000Kb	#96ced3
breast	211	n_bin1	0	10	0-10 Kb	#003648
breast	262	n_bin2	10	100	10-100 Kb	#006479
breast	43	n_bin3	100	250	100-250 Kb	#0096a0
breast	36	n_bin4	250	1000	250-1000 Kb	#49bcbc
breast	1	n_bin5	1000	30000	> 1000Kb	#96ced3
small_intestine	80	n_bin1	0	10	0-10 Kb	#003648
small_intestine	138	n_bin2	10	100	10-100 Kb	#006479
small_intestine	25	n_bin3	100	250	100-250 Kb	#0096a0
small_intestine	15	n_bin4	250	1000	250-1000 Kb	#49bcbc
small_intestine	0	n_bin5	1000	30000	> 1000Kb	#96ced3
artery_coronary	103	n_bin1	0	10	0-10 Kb	#003648
artery_coronary	137	n_bin2	10	100	10-100 Kb	#006479
artery_coronary	20	n_bin3	100	250	100-250 Kb	#0096a0
artery_coronary	19	n_bin4	250	1000	250-1000 Kb	#49bcbc
artery_coronary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
spleen	266	n_bin1	0	10	0-10 Kb	#003648
spleen	262	n_bin2	10	100	10-100 Kb	#006479
spleen	46	n_bin3	100	250	100-250 Kb	#0096a0
spleen	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
spleen	2	n_bin5	1000	30000	> 1000Kb	#96ced3
pancreas	256	n_bin1	0	10	0-10 Kb	#003648
pancreas	333	n_bin2	10	100	10-100 Kb	#006479
pancreas	57	n_bin3	100	250	100-250 Kb	#0096a0
pancreas	28	n_bin4	250	1000	250-1000 Kb	#49bcbc
pancreas	1	n_bin5	1000	30000	> 1000Kb	#96ced3
skin	194	n_bin1	0	10	0-10 Kb	#003648
skin	266	n_bin2	10	100	10-100 Kb	#006479
skin	64	n_bin3	100	250	100-250 Kb	#0096a0
skin	17	n_bin4	250	1000	250-1000 Kb	#49bcbc
skin	1	n_bin5	1000	30000	> 1000Kb	#96ced3
B	155	n_bin1	0	10	0-10 Kb	#003648
B	251	n_bin2	10	100	10-100 Kb	#006479
B	43	n_bin3	100	250	100-250 Kb	#0096a0
B	42	n_bin4	250	1000	250-1000 Kb	#49bcbc
B	0	n_bin5	1000	30000	> 1000Kb	#96ced3
macrophage	212	n_bin1	0	10	0-10 Kb	#003648
macrophage	263	n_bin2	10	100	10-100 Kb	#006479
macrophage	53	n_bin3	100	250	100-250 Kb	#0096a0
macrophage	35	n_bin4	250	1000	250-1000 Kb	#49bcbc
macrophage	1	n_bin5	1000	30000	> 1000Kb	#96ced3
pancreatic_islet	73	n_bin1	0	10	0-10 Kb	#003648
pancreatic_islet	96	n_bin2	10	100	10-100 Kb	#006479
pancreatic_islet	31	n_bin3	100	250	100-250 Kb	#0096a0
pancreatic_islet	18	n_bin4	250	1000	250-1000 Kb	#49bcbc
pancreatic_islet	0	n_bin5	1000	30000	> 1000Kb	#96ced3
HLC	24	n_bin1	0	10	0-10 Kb	#003648
HLC	24	n_bin2	10	100	10-100 Kb	#006479
HLC	2	n_bin3	100	250	100-250 Kb	#0096a0
HLC	4	n_bin4	250	1000	250-1000 Kb	#49bcbc
HLC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
cartilage	15	n_bin1	0	10	0-10 Kb	#003648
cartilage	28	n_bin2	10	100	10-100 Kb	#006479
cartilage	4	n_bin3	100	250	100-250 Kb	#0096a0
