cluster	model	AUPRC	AUPRC_95CI_low	AUPRC_95CI_high	precision_70_pct_recall	precision_70_pct_recall_95CI_low	precision_70_pct_recall_95CI_high	threshold_70_pct_recall	precision_50_pct_recall	precision_50_pct_recall_95CI_low	precision_50_pct_recall_95CI_high	threshold_50_pct_recall	precision_model_threshold	precision_model_threshold_95CI_low	precision_model_threshold_95CI_high	recall_model_threshold	recall_model_threshold_95CI_low	recall_model_threshold_95CI_high	pct_missing_pos	pct_missing_neg	pct_missing_total
5000_cells_2000_atac	multiome_powerlaw_v2_noTPMfilter	0.58604530736993	0.5345781485749254	0.6300386144439513	0.5037210647539857	0.4656023448166029	0.5430349736774693	0.135503233141838	0.6450175856206722	0.5954892373713481	0.6917281590153415	0.315787173387139	0.5421839013220187	0.5023244794725324	0.5834977343268996	0.6697378008601631	0.6290365744156199	0.7159804864516983	0.09341825902335456	0.15852301466868993	0.1555619930475087
2000_cells_10000_atac	scATAC_powerlaw_v2	0.5857637852657607	0.5353615068025943	0.6282396131515382	0.5007851617147164	0.46264674456487664	0.5409136880879947	0.167910819138781	0.6715384685988897	0.6165858254188031	0.7151456409528435	0.371057021520369	0.5215763605586912	0.48439975357398196	0.5627989705555512	0.691018773944789	0.6458583274789612	0.7278084391566524	0.0870488322717622	0.13940313606474455	0.13702201622247973
1000_cells_10000_atac	scATAC_powerlaw_v2	0.5851816918403817	0.5349291211598186	0.6325431263772727	0.5093526554344308	0.47213760723575143	0.5471873434854428	0.163684396318922	0.6424372777549274	0.5978937830412511	0.6970015196351138	0.342461982719153	0.532787856220912	0.49247298806129114	0.5727777337250106	0.6839524599439489	0.6386842205705934	0.7215009401157185	0.09129511677282377	0.15852301466868993	0.15546543066821167
200_cells_all_atac	scATAC_powerlaw_v2	0.5830352061486803	0.5328137635181452	0.6246413679224373	0.510680479722764	0.47115995188732307	0.5481338273485257	0.15423825444836	0.6670391492712892	0.6198152346852316	0.7177256201442165	0.356223575823495	0.5472479564903586	0.5043523048932401	0.5866059776844335	0.6704332291403319	0.6274039987614897	0.7108648150134287	0.09554140127388536	0.17855336368234698	0.17477790652761685
all_cells_2000_atac	multiome_powerlaw_v2_noTPMfilter	0.5829791421260079	0.5214468682947626	0.6260296388309162	0.5036769274381457	0.46622425403644024	0.5418984593596099	0.131901841711168	0.6618751963061463	0.6139118975642623	0.7123557780976939	0.354749317724247	0.5408445630273977	0.4975454607431586	0.578873221958759	0.6829562877984153	0.6401597821438483	0.7225879105592498	0.08917197452229299	0.1426403641881639	0.14020857473928158
200_cells_all_atac	multiome_powerlaw_v2_noTPMfilter	0.5828165958752195	0.5278877545442003	0.6260463854435379	0.5136259474414038	0.4756834147672996	0.5555178943850676	0.124263723301004	0.6775511740234171	0.6257191877286562	0.7241522632718412	0.325980667062437	0.5633707864582035	0.522520125619113	0.6051036775271231	0.6637426453081144	0.6210762331838565	0.7058782853765565	0.09554140127388536	0.17855336368234698	0.17477790652761685
all_cells_2000_atac	scATAC_powerlaw_v2	0.5821319458433822	0.5270034847598951	0.6271592640266737	0.5127479265038256	0.4792215369664939	0.5542467462259562	0.164924700110697	0.6584472695764095	0.59938585619396	0.7031700288184438	0.380460856885971	0.5293436648860836	0.49033614842632534	0.5679605174953969	0.6882681364866198	0.6421294045919416	0.7303882086880344	0.08917197452229299	0.1426403641881639	0.14020857473928158
5000_cells_4000_atac	multiome_powerlaw_v2	0.5805902192827411	0.536993762116307	0.6329493785513556	0.5034443261247623	0.4617098356620022	0.5380206379728852	0.124538476893347	0.6838705734080941	0.6304340958232503	0.7332411360526343	0.333111320974224	0.5444971824249445	0.5026689243791748	0.5833437228182156	0.6568041338474577	0.6110920075792096	0.6975566462927606	0.08917197452229299	0.13343449671219018	0.13142139822325222
2000_cells_10000_atac	multiome_powerlaw_v2	0.5795310756620793	0.5318670631283393	0.6243992745957457	0.4875631503281508	0.4489049613191819	0.5242886267224193	0.122392198450435	0.6647709548245835	0.6213737339461042	0.7150771469645281	0.342926590492873	0.5449249553959747	0.5040437744344545	0.5843527502294787	0.6718463036401008	0.6274660986822298	0.7123120581747793	0.0870488322717622	0.13940313606474455	0.13702201622247973
1000_cells_10000_atac	multiome_powerlaw_v2	0.5785401477787347	0.5259243508970984	0.6250989167767971	0.48807086954292017	0.45100333482765487	0.5238725264781077	0.114491265416433	0.6430337900000463	0.5887963216282831	0.6865984289970115	0.297895959956705	0.5542898305260133	0.5131410879594044	0.5967384574642092	0.6569426835909686	0.616817298498627	0.7004804222753209	0.09129511677282377	0.15852301466868993	0.15546543066821167
