Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_activated	-96899.4285714286	Treg	202	166	955	0.21151832460733	0.173821989528796	0.821782178217822	ABC_distanceToTSS	7.84376657035328	6.92005160493149	8.89078254363693	0.063927665462901	3.97959609215438e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-96899.4285714286	Treg	196	162	955	0.205235602094241	0.169633507853403	0.826530612244898	ABC_distanceToTSS	7.77364447686329	6.84108182512983	8.83333221226605	0.0652018197094157	6.71111612041667e-101	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-96899.4285714286	Treg	168	142	955	0.175916230366492	0.14869109947644	0.845238095238095	ABC_distanceToTSS	8.23051025593864	7.14361733532761	9.48277264770433	0.0722608862892397	1.5117289178042e-87	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-96899.4285714286	Treg	197	167	955	0.206282722513089	0.174869109947644	0.847715736040609	ABC_distanceToTSS	8.03226463459812	7.07167098914399	9.12334231319001	0.0649857393916859	6.51609165134593e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-84093.5714285714	Treg	200	160	955	0.209424083769634	0.167539267015707	0.8	ABC_distanceToTSS	8.07170414741077	7.115303854691	9.15665854528113	0.0643464343351385	4.30126454249682e-106	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-84093.5714285714	Treg	195	156	955	0.204188481675393	0.163350785340314	0.8	ABC_distanceToTSS	8.03820626393465	7.07088462317264	9.13786087384454	0.0654197537432603	9.22114759361343e-103	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-84093.5714285714	Treg	164	135	955	0.171727748691099	0.141361256544503	0.823170731707317	ABC_distanceToTSS	8.3160143190555	7.20207781146612	9.60224201474686	0.0733755944913138	8.78159333076762e-86	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-84093.5714285714	Treg	196	161	955	0.205235602094241	0.168586387434555	0.821428571428571	ABC_distanceToTSS	8.27186406000674	7.27952903203891	9.39947278540718	0.0652020742079027	1.75591120670657e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-80811.1836734693	Treg	199	160	955	0.208376963350785	0.167539267015707	0.804020100502513	ABC_distanceToTSS	8.12844198621408	7.16234782302429	9.22484787891093	0.0645580393899551	5.17612210372448e-106	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-80811.1836734693	Treg	192	156	955	0.201047120418848	0.163350785340314	0.8125	ABC_distanceToTSS	8.00528221712134	7.03277639924306	9.11226800594096	0.0660828659188241	1.16416539530704e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-80811.1836734693	Treg	163	135	955	0.170680628272251	0.141361256544503	0.828220858895705	ABC_distanceToTSS	8.35321739943436	7.23025768274386	9.65058840001577	0.0736605911032508	1.88256703252943e-85	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-80811.1836734693	Treg	195	161	955	0.204188481675393	0.168586387434555	0.825641025641026	ABC_distanceToTSS	8.32274514684032	7.32117986211942	9.46132837654415	0.0654198998675038	2.55233116629588e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-73911.5	Treg	198	158	955	0.207329842931937	0.16544502617801	0.797979797979798	ABC_distanceToTSS	8.32857730965732	7.33563037168475	9.45592900518621	0.0647712423750854	3.18796365563509e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-73911.5	Treg	190	154	955	0.198952879581152	0.161256544502618	0.810526315789474	ABC_distanceToTSS	8.14414091148698	7.14845163564705	9.27851716243056	0.0665333569282191	1.08508919292805e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-73911.5	Treg	162	132	955	0.169633507853403	0.138219895287958	0.814814814814815	ABC_distanceToTSS	8.52158678532635	7.371834638335	9.85066064317608	0.0739482758570393	4.74399789084644e-86	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-73911.5	Treg	195	157	955	0.204188481675393	0.164397905759162	0.805128205128205	ABC_distanceToTSS	8.53143093556272	7.5047506728592	9.69856521303277	0.0654200070375774	3.80157080816612e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-64841.6428571429	Treg	193	155	955	0.202094240837696	0.162303664921466	0.803108808290156	ABC_distanceToTSS	8.46421626697446	7.4392004780444	9.63046462123956	0.0658604172101093	2.56558488598163e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-64841.6428571429	Treg	185	149	955	0.193717277486911	0.156020942408377	0.805405405405405	ABC_distanceToTSS	8.26398783255851	7.23722119519904	9.43642498338714	0.067689988497261	1.09673456771698e-98	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-64841.6428571429	Treg	158	128	955	0.16544502617801	0.134031413612565	0.810126582278481	ABC_distanceToTSS	8.6232322504665	7.44257247557317	9.99118714524294	0.0751255812229729	2.61703723615193e-84	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-64841.6428571429	Treg	190	152	955	0.198952879581152	0.159162303664921	0.8	ABC_distanceToTSS	8.63180935550525	7.57649471647596	9.83411663810199	0.0665336142493945	7.31427447616158e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
