group1	group2	group1_enr	group2_enr	delta_enr	p_delta_enr	p_delta_enr_adjust	significant
BMMC22_Proerythroblast	Islets_PP	10.6473417689872	4.31577025497002	6.33157151401718	3.24580562171073e-11	3.50547007144759e-09	TRUE
BMMC22_Normoblast	Islets_mesenchymal	12.391569416534	3.86537000783843	8.52619940869557	3.86330418663449e-15	4.17236852156525e-13	TRUE
BMMC22_Erythroblast	Islets_mesenchymal	10.9317303488752	3.86537000783843	7.06636034103677	2.34587967573625e-13	2.53355004979515e-11	TRUE
BMMC22_Proerythroblast	Islets_mesenchymal	10.6473417689872	3.86537000783843	6.78197176114877	8.14996672115784e-13	8.80196405885047e-11	TRUE
BMMC22_Normoblast	Islets_acinar	12.391569416534	3.83004889892062	8.56152051761338	2.69295605834206e-16	2.90839254300942e-14	TRUE
BMMC22_Erythroblast	Islets_acinar	10.9317303488752	3.83004889892062	7.10168144995458	1.83851557718199e-14	1.98559682335655e-12	TRUE
BMMC22_Proerythroblast	Islets_acinar	10.6473417689872	3.83004889892062	6.81729287006658	7.03631754773552e-14	7.59922295155436e-12	TRUE
BMMC22_Normoblast	Islets_duct	12.391569416534	3.77443744175755	8.61713197477645	3.47903277246844e-15	3.75735539426591e-13	TRUE
BMMC22_Erythroblast	Islets_duct	10.9317303488752	3.77443744175755	7.15729290711765	2.05027387112488e-13	2.21429578081487e-11	TRUE
BMMC22_Proerythroblast	Islets_duct	10.6473417689872	3.77443744175755	6.87290432722965	6.98175738064636e-13	7.54029797109807e-11	TRUE
BMMC22_Normoblast	Islets_beta	12.391569416534	3.76929760782377	8.62227180871023	3.25713612507456e-16	3.51770701508053e-14	TRUE
BMMC22_Erythroblast	Islets_beta	10.9317303488752	3.76929760782377	7.16243274105143	2.16118948234038e-14	2.33408464092761e-12	TRUE
BMMC22_Proerythroblast	Islets_beta	10.6473417689872	3.76929760782377	6.87804416116343	8.06659786893924e-14	8.71192569845438e-12	TRUE
BMMC22_Normoblast	Islets_delta	12.391569416534	3.63582915597055	8.75574026056345	2.12647808148862e-16	2.29659632800771e-14	TRUE
BMMC22_Erythroblast	Islets_delta	10.9317303488752	3.63582915597055	7.29590119290465	1.37289601447229e-14	1.48272769563008e-12	TRUE
BMMC22_Proerythroblast	Islets_delta	10.6473417689872	3.63582915597055	7.01151261301665	5.01600369449316e-14	5.41728399005261e-12	TRUE
BMMC22_Normoblast	Islets_alpha	12.391569416534	3.28323187732392	9.10833753921008	9.70318135197492e-20	1.04794358601329e-17	TRUE
BMMC22_Erythroblast	Islets_alpha	10.9317303488752	3.28323187732392	7.64849847155128	7.31682349122692e-18	7.90216937052507e-16	TRUE
BMMC22_Proerythroblast	Islets_alpha	10.6473417689872	3.28323187732392	7.36410989166328	3.17983153151097e-17	3.43421805403185e-15	TRUE
